"","Period","Gini_tinc","Log_SD_tinc","Log_Diff_tinc","Gini_texp","Log_SD_texp","Log_Diff_texp","Gini_wage","Log_SD_wage","Log_Diff_wage","Gini_energy","Log_SD_energy","Log_Diff_energy"
"1","1977M01",0.320956301920247,0.615867792162374,1.6706769455936,0.358254727587176,0.669020341485213,1.70778480740345,0.358221355128637,0.761064276243622,1.93405347145955,0.330150151690781,0.664822547774151,1.59376550954898
"2","1977M02",0.382432498881841,0.704357956148127,1.75819996654893,0.369837882238512,0.716648586573295,1.85755288092833,0.420190144568321,0.796239072359372,2.08059559685017,0.433977464405898,0.820206875760293,1.5481416062835
"3","1977M03",0.304738754769558,0.60071806390868,1.58951319193692,0.341108089926046,0.643246549157802,1.55089353943829,0.326376337551657,0.660213321241264,1.79128442828732,0.327838549636659,0.617222366028788,1.54809653252248
"4","1977M04",0.302595628262004,0.587900806747663,1.60551863260459,0.326806412432511,0.646323572767696,1.62818392891056,0.331479953995419,0.699608714043699,1.80792170731885,0.336334542127183,0.637993739988588,1.50343575414919
"5","1977M05",0.317964801296996,0.625322249550612,1.69538733910877,0.343691031639772,0.66580631389178,1.7733476862152,0.357103166343614,0.757917660702497,1.95327044686741,0.321521593823409,0.596349462676812,1.41320211221808
"6","1977M06",0.301434931621211,0.591714054928573,1.56899438924156,0.312436144559358,0.604537462954922,1.50785667938092,0.330027613878061,0.675376804287522,1.79345840577656,0.34942577548088,0.659073103248819,1.5535928787323
"7","1977M07",0.300653251794277,0.577155080441915,1.54589144633375,0.326370623493859,0.609794213051395,1.55376204279294,0.328945093068204,0.672317885070516,1.74709142494419,0.343654031223211,0.659110215837088,1.65748610290813
"8","1977M08",0.315776930713733,0.616132242157126,1.64877027974778,0.339815024667103,0.644635408119519,1.68634192627941,0.347921110300832,0.717183464282467,1.91093625978981,0.330765124634818,0.641774921814969,1.56558403723979
"9","1977M09",0.305280974921567,0.600865418676234,1.56780281635022,0.326926212563098,0.645598881348284,1.70911370006432,0.334231486583935,0.672383844810126,1.82196346115333,0.337112504436204,0.648448946018682,1.60340186391965
"10","1977M10",0.321625733608384,0.638030354674902,1.60678792855584,0.310498708608872,0.58553131479385,1.50730846827156,0.34714868191146,0.715667466603194,1.84195441889078,0.381614475306202,0.769892130149379,1.8405949191506
"11","1977M11",0.282523521402622,0.525797314907458,1.31078151225878,0.299671274991778,0.550884011890161,1.41828209539172,0.314899494138299,0.597240835381994,1.46886053636356,0.299449157406515,0.635586929884271,1.51819956371789
"12","1977M12",0.314272593612316,0.631717880187518,1.64197571243012,0.348985494383112,0.705204152656139,1.81298504437459,0.348533023933636,0.702281143083338,1.85907267447486,0.416101703332515,0.84481805069907,2.00292446255079
"13","1978M01",0.313578305820155,0.619684875281511,1.62724042247202,0.320180212316761,0.641773214040873,1.63313950330225,0.347804296817207,0.745616553448826,1.95108646412502,0.326446165766213,0.646430629538576,1.48302086972248
"14","1978M02",0.332583111210404,0.650971320133041,1.66667551978695,0.308539600700758,0.656214496944386,1.63992315845022,0.343833360794603,0.701769088044338,1.83248706006585,0.478725903744849,0.83621169270462,2.12391666455349
"15","1978M03",0.287923655749619,0.571157396134442,1.5516010983755,0.325809905582984,0.642892662858024,1.70159579647902,0.328212101473444,0.698406993252265,1.83208469734626,0.285871342847192,0.619261603842787,1.43247931993375
"16","1978M04",0.32314085018094,0.618716760075171,1.6623186701381,0.334732229819685,0.646299027016602,1.64369528500273,0.361710241367976,0.749599787707851,1.9062593711326,0.313862073826072,0.618282593920081,1.47577262381567
"17","1978M05",0.31983425874522,0.626876780630148,1.6549266129372,0.345234962825421,0.672815463807755,1.69428662843498,0.355765966522249,0.749706524865471,1.87668846109051,0.312676177502925,0.635750707390671,1.53294432485329
"18","1978M06",0.297539737042129,0.615831441444101,1.58121884407742,0.331426876571039,0.632353701872632,1.63304895936352,0.326936292602659,0.703949778060337,1.78612623987224,0.324480211861087,0.619931043434936,1.51164241606034
"19","1978M07",0.31138836218478,0.636375591736954,1.56686256721046,0.328106745246824,0.613529607110917,1.5832341508231,0.344461777499409,0.718400250777259,1.79809435909064,0.354341061402529,0.695773199280671,1.55196833708032
"20","1978M08",0.326160102117819,0.636504064237122,1.69779234209091,0.347940028133738,0.66416809223027,1.68338798020626,0.353462262471401,0.716935491865295,1.9203903896285,0.339497180965725,0.711425950829194,1.62401309143226
"21","1978M09",0.314598303487774,0.601174384883849,1.61410662242416,0.317899749143837,0.597323916733232,1.56912749091316,0.347377602726377,0.689320022684508,1.84152177162809,0.328149537736705,0.666299886164163,1.48199971974777
"22","1978M10",0.305375220567006,0.574674680717262,1.57119048814761,0.326472030494055,0.617077522645743,1.53984019482842,0.349570783855951,0.677426280616931,1.79545767101135,0.391418923191583,0.709323042259471,1.66596537679319
"23","1978M11",0.325356022272103,0.59718803260449,1.61492694315798,0.314827980084891,0.601517782054069,1.57990692622514,0.374004916598681,0.920721744773004,1.84184741179154,0.398047773860873,0.72491804254945,1.67604020394353
"24","1978M12",0.389791280351299,0.697691418398242,1.86796957338021,0.406683402457296,0.783824592255707,2.06650495706826,0.422529810389445,0.77566699129451,2.06827424833932,0.36476654597827,0.817694165933029,1.75600606193539
"25","1979M01",0.33683181796513,0.647504774409994,1.72962561062201,0.352811733780124,0.693348975251995,1.79613878664357,0.36505287658153,0.735893471859054,1.92325942437811,0.341347068107228,0.649705419815147,1.62455155024415
